"SMILES","CASRN","RECORDID","MOLECULEID","EXTERNALID","N","NAME","NAME","INTRODUCER","MODIFIER","ARTICLEID","PUBMEDID","PAGE","TABLE","pKa (smiles as ob. cond.) {measured}","UNIT {pKa (smiles as ob. cond.)}","pKa (smiles as ob. cond.) {measured, converted}","UNIT {pKa (smiles as ob. cond.)}","Ionizable centre (smiles)","pKa predicted value","UNIT {pKa predicted value}","IC index predicted","pKa predicted value 2","UNIT {pKa predicted value 2}","IC group given","Temperature","UNIT {Temperature}","COMMENTS","INCHI_KEY"
"N1C2=C(C=CC=C2)N=C1C1=CC=CC=C1","-","R933229","M23435","-","-","2-PHENYLBENZIMIDAZOLE","-","Koerner","charochkina","A3555","12767145","-","-","5.23","Log unit","5.23","Log unit","n1c([nH]c2ccccc12)c1ccccc1","4.765","Log unit","0","5.1475","Log unit","","","-","-","DWYHDSLIWMUSOO-UHFFFAOYSA"
"NC1=CC=CC=C1N","-","R933230","M3150","-","-","2-PHENYLENEDIAMINE","-","Koerner","charochkina","A3555","12767145","-","-","4.47","Log unit","4.47","Log unit","Nc1c(cccc1)N","4.452","Log unit","0","4.7375","Log unit","","","-","-","GEYOCULIXLDCMW-UHFFFAOYSA"
"NCCC1=CC=CC=C1","-","R933231","M764","-","-","2-phenylethylamine","-","Koerner","charochkina","A3555","12767145","-","-","9.83","Log unit","9.83","Log unit","NCCc1ccccc1","9.833","Log unit","0","9.7917","Log unit","","","-","-","BHHGXPLMPWCGHP-UHFFFAOYSA"
"N1C=CN=C1C1=CC=CC=C1","-","R933232","M14019","-","-","2-Phenylimidazole","-","Koerner","charochkina","A3555","12767145","-","-","6.48","Log unit","6.48","Log unit","n1c([nH]cc1)c1ccccc1","6.505","Log unit","0","6.3045","Log unit","","","-","-","ZCUJYXPAKHMBAZ-UHFFFAOYSA"
"CCCC1=NC=CC=C1","-","R933233","M22690","-","-","2-Propylpyridine","-","Koerner","charochkina","A3555","12767145","-","-","6.3","Log unit","6.3","Log unit","n1c(cccc1)CCC","5.164","Log unit","0","5.5993","Log unit","","","-","-","OIALIKXMLIAOSN-UHFFFAOYSA"
"O=CC1=CC=CC=N1","-","R933234","M24643","-","-","2-Pyridinecarbaldehyde","-","Koerner","charochkina","A3555","12767145","-","-","3.84","Log unit","3.84","Log unit","n1ccccc1C=O","3.277","Log unit","0","3.5153","Log unit","","","-","-","CSDSSGBPEUDDEE-UHFFFAOYSA"
"CC(C)(C)C1=CC=CC=N1","-","R933235","M30768","-","-","2-T-BUTYLPYRIDINE","-","Koerner","charochkina","A3555","12767145","-","-","5.76","Log unit","5.76","Log unit","n1ccccc1C(C)(C)C","5.732","Log unit","0","5.291","Log unit","","","-","-","UUIMDJFBHNDZOW-UHFFFAOYSA"
"C=CC1=NC=CC=C1","-","R933236","M18332","-","-","2-VINYLPYRIDINE","-","Koerner","charochkina","A3555","12767145","-","-","4.98","Log unit","4.98","Log unit","n1c(cccc1)C=C","5.288","Log unit","0","4.8589","Log unit","","","-","-","KGIGUEBEKRSTEW-UHFFFAOYSA"
"CC1=C(C)C2=C(N=C1)C(O)=CC=C2","-","R933237","M124318","-","-","3,4-DIMETHYL-8-HYDROXYQUINOLINE","-","Koerner","charochkina","A3555","12767145","-","-","5.8","Log unit","5.8","Log unit","n1cc(c(c2cccc(c12)O)C)C","6.056","Log unit","1","5.07","Log unit","","","-","-","LNNMENPNLRCNSR-UHFFFAOYSA"
"CC1=C(C)C=C(N)C=C1","-","R933238","M2142","-","-","3,4-Dimethylaniline","-","Koerner","charochkina","A3555","12767145","-","-","5.17","Log unit","5.17","Log unit","Nc1cc(c(cc1)C)C","5.095","Log unit","0","5.1816","Log unit","","","-","-","DOLQYFPDPKPQSS-UHFFFAOYSA"
